,Type,Episodes,Rating,Start_season,Score
447,TV,12,PG-13 - Teens 13 or older,Fall,7.34
448,TV,13,G - All Ages,Fall,7.69
449,TV,26,PG-13 - Teens 13 or older,Spring,7.11
450,TV,51,PG-13 - Teens 13 or older,Spring,7.76
453,TV,24,PG-13 - Teens 13 or older,Summer,7.35
454,Movie,1,PG-13 - Teens 13 or older,Summer,7.35
455,TV,26,G - All Ages,Winter,7.29
456,TV,13,R - 17+ (violence & profanity),Spring,8.34
457,TV,13,R+ - Mild Nudity,Winter,6.68
458,TV,12,PG-13 - Teens 13 or older,Summer,7.66
459,TV,12,G - All Ages,Summer,7.4
460,TV,26,PG-13 - Teens 13 or older,Summer,7.45
461,Movie,1,R - 17+ (violence & profanity),Spring,6.86
462,Movie,1,R+ - Mild Nudity,Spring,7.08
463,TV,26,R - 17+ (violence & profanity),Fall,6.71
464,Movie,1,PG-13 - Teens 13 or older,Winter,6.63
465,TV,13,R+ - Mild Nudity,Fall,6.58
466,OVA,3,PG-13 - Teens 13 or older,Summer,6.13
467,OVA,1,R - 17+ (violence & profanity),Fall,6.17
469,Movie,1,PG-13 - Teens 13 or older,Fall,6.83
472,TV,51,G - All Ages,Spring,7.27
473,TV,23,PG-13 - Teens 13 or older,Spring,7.34
474,OVA,2,R - 17+ (violence & profanity),Summer,6.96
476,TV,13,PG-13 - Teens 13 or older,Summer,6.81
477,TV,13,PG-13 - Teens 13 or older,Fall,5.89
478,TV,13,PG-13 - Teens 13 or older,Summer,6.19
479,Movie,1,G - All Ages,Summer,8.24
480,Movie,1,PG - Children,Summer,8.31
481,OVA,3,R - 17+ (violence & profanity),Spring,6.85
482,Movie,1,PG-13 - Teens 13 or older,Summer,6.06
484,OVA,2,PG-13 - Teens 13 or older,Fall,7.75
485,TV,63,G - All Ages,Spring,6.74
486,TV,26,PG-13 - Teens 13 or older,Winter,7.34
488,TV,52,PG - Children,Spring,7.04
489,Movie,1,PG-13 - Teens 13 or older,Spring,7.54
490,Movie,1,G - All Ages,Spring,8.31
491,OVA,1,R+ - Mild Nudity,Spring,7.04
492,TV,26,PG-13 - Teens 13 or older,Summer,6.98
493,OVA,6,PG-13 - Teens 13 or older,Fall,7.17
495,Movie,1,PG - Children,Summer,7.63
496,TV,13,R - 17+ (violence & profanity),Summer,7.18
497,TV,46,PG-13 - Teens 13 or older,Spring,7.68
498,Movie,1,PG-13 - Teens 13 or older,Fall,7.7
499,TV,38,PG-13 - Teens 13 or older,Spring,7.85
500,TV,13,PG-13 - Teens 13 or older,Spring,6.69
501,TV,26,PG-13 - Teens 13 or older,Spring,7.76
502,TV,26,PG-13 - Teens 13 or older,Spring,8.04
503,Movie,1,PG-13 - Teens 13 or older,Summer,7.3
504,OVA,2,R - 17+ (violence & profanity),Winter,5.27
505,TV,26,PG-13 - Teens 13 or older,Spring,6.87
506,OVA,6,R+ - Mild Nudity,Summer,7.66
507,OVA,6,R+ - Mild Nudity,Summer,7.66
508,OVA,6,R+ - Mild Nudity,Summer,7.32
509,Movie,1,R - 17+ (violence & profanity),Summer,7.89
510,Movie,1,PG-13 - Teens 13 or older,Winter,6.78
511,TV,12,PG-13 - Teens 13 or older,Spring,6.03
512,TV,13,PG-13 - Teens 13 or older,Summer,6.0
515,TV,27,PG-13 - Teens 13 or older,Spring,7.21
516,TV,24,R - 17+ (violence & profanity),Summer,7.45
